DATE,OLS,Lasso,RandomForest,GBRT,Market
2005-01-31,-0.035337851313303435,-0.07391619749207771,-0.02075086297952167,-0.03598422507204783,-0.029962111257714696
2005-02-28,0.018123847120359277,0.0054311094788922105,0.019062875097829047,0.01610478053136198,0.01594610017842695
2005-03-31,-0.03036090290549875,-0.05582865668983557,-0.01388173263946188,-0.013760585295814644,-0.03387674575558299
2005-04-29,-0.06145249331526945,-0.08373999171511975,-0.009710486702735876,-0.03846897922215569,-0.046989142553819786
2005-05-31,0.04438903545680631,0.05114765765277361,0.04272236864452773,0.04139600815202398,0.04216330327510416
2005-06-30,0.0381759223274819,0.02307401190772142,0.021713764442588365,0.01638253334812729,0.030574551877942925
2005-07-29,0.07029364816378889,0.06264623800762331,0.04536278863466593,0.05283898041169523,0.05712281931366879
2005-08-31,-0.014357339420359274,-0.03377756247994011,-0.02052206578308383,-0.0318851913531437,-0.00858086554514664
2005-09-30,0.015621954963677128,0.018674978436771295,0.007124864606427502,-0.008682145199701046,0.009752253587026274
2005-10-31,-0.03607823753602391,-0.05160117269058296,-0.032612618986397605,-0.03191967347877429,-0.034864160844540054
2005-11-30,0.03294227364484304,0.041764873699402086,0.02070328998612795,0.03640496276816143,0.03310989967518612
2005-12-30,0.007964265383982037,0.010304127679810558,0.014520415917585927,0.017061709697325525,0.012074567647932006
2006-01-31,0.08056107438263473,0.09035170827290419,0.07046359930673653,0.06868795659835329,0.0740115325548183
2006-02-28,-0.008115025325337333,-0.009894364964167915,0.008850812206446772,0.00047041449295352256,0.003629220510880382
2006-03-31,0.03687981722503748,0.04721838519025487,0.04114046774062968,0.036368785057721134,0.03549596218922666
2006-04-28,0.01005287434317841,0.006979280240329834,0.001340249014392804,0.004830313844677663,0.008305879717713613
2006-05-31,-0.05015441684407796,-0.06539068114797601,-0.03592381302143928,-0.034957040762368816,-0.04483091762671115
2006-06-30,-0.002731378322324822,-0.015654426511976047,-0.006813066495059879,-0.018570626356157156,-0.009413615071290163
2006-07-31,-0.02566239360059347,-0.04306538345712166,-0.024957530312314537,-0.031988156226261125,-0.022856242217657634
2006-08-31,0.0212585860083086,0.016565115470623143,0.022902119567062312,0.022496889075222546,0.024420351094414476
2006-09-29,0.006214397395762706,-0.00884728548110119,0.004244162957589346,-0.002082198344713419,0.008053809492020034
2006-10-31,0.05502227172704308,0.049328642282020795,0.04467012063283803,0.04812681262852896,0.04465756206255771
2006-11-30,0.03491731805728524,0.03976152285964391,0.028929758886646877,0.03233373803783383,0.02906843584510832
2006-12-29,-0.012582775179111107,-0.02040045509318518,0.0038790526938951267,-0.004227085398697466,0.013544223494371486
2007-01-31,0.022850777073037034,0.01951608028948148,0.025428463577481478,0.023024371359703703,0.021046339531639337
2007-02-28,-0.0019003505326440177,-0.007505268564549479,0.01162661147016248,-0.002927175285672083,0.0008019849600283148
2007-03-30,0.008950359345227607,0.007549318721145376,0.005695020631380788,-0.0026656592220700155,0.005853417113928257
2007-04-30,0.018016665837536652,0.02330875467668621,0.027133240901007324,0.021651828689296184,0.02533367771713365
2007-05-31,0.02367044727067448,0.018904902870821114,0.03854645528255131,0.019282580343627783,0.02245891315640202
2007-06-29,-0.008387974124122805,-0.0019992425856725144,-0.010126731410380112,-0.007233277525584792,-0.008534542001149807
2007-07-31,-0.04444932104919708,-0.04674739048014598,-0.04759003655781021,-0.05430446422452554,-0.044197816447248905
2007-08-31,-0.010699616787134499,-0.022307219997807017,-0.024271103390789472,-0.02085806137967836,-0.012911372325913375
2007-09-28,0.028757531984411756,0.029053457085294113,0.01799948709158661,0.006629423671370296,0.023627954638823875
2007-10-31,0.015496889365828402,0.015499346014497041,0.019298928783431944,0.008806890447928992,0.01576625352066098
2007-11-30,-0.08135066751541915,-0.0986262891558383,-0.08086456405628742,-0.08986476254476046,-0.07860505066198942
