DATE,NN3_Optimized,Market
2005-01-31,0.02207109891345651,0.05304515693377211
2005-02-28,0.1432020818640942,0.16252813152508908
2005-03-31,0.12309350520512649,0.1387747038335688
2005-04-29,0.3113760133715943,0.2236195818070273
2005-05-31,0.417532426579427,0.29982808093778385
2005-06-30,0.22952327819258672,0.18780430868608974
2005-07-29,0.18507943791142809,0.1432632106055704
2005-08-31,-0.023781240304360667,0.0563121711775321
2005-09-30,0.01136783705709024,0.08697019241222358
2005-10-31,0.012006482284829544,0.08511818191765932
2005-11-30,0.19674094800839745,0.17286760701335271
2005-12-30,0.1762136557637355,0.1654285783344375
2006-01-31,0.12426581398806433,0.16606759549529743
2006-02-28,0.0889403981915025,0.1117346668544357
2006-03-31,0.0567094879581138,0.10608675258931795
2006-04-28,0.0946863063594406,0.0785232708015282
2006-05-31,0.03970841951716549,0.09736457001398131
2006-06-30,0.13567285060228565,0.1768531664198047
2006-07-31,0.12646284520132633,0.17850667136343426
2006-08-31,0.1484932033140608,0.1556117532804806
2006-09-29,0.10980159737162556,0.11759577719564478
2006-10-31,0.18051738401901551,0.13751068699254665
2006-11-30,0.12789105373335138,0.11209023310553981
2006-12-29,-0.01890562246931884,-0.00672244565104492
2007-01-31,-0.04728170267060937,-0.027267173974000247
2007-02-28,-0.1630492651434054,-0.10181382384099744
2007-03-30,-0.2137249686098594,-0.12127973651593235
2007-04-30,-0.26860100894766153,-0.1477314543471099
2007-05-31,-0.25905750893082913,-0.14128448273902053
2007-06-29,-0.23253655507136678,-0.13424538698802188
2007-07-31,-0.21385785699467655,-0.19422894996880785
2007-08-31,-0.20067036969182403,-0.16557247269154818
2007-09-28,-0.24997491980092676,-0.15078708472264252
2007-10-31,-0.2716074447963712,-0.26665040106508975
2007-11-30,-0.46902137979376396,-0.42286251733392416
2007-12-31,-0.4428861482587761,-0.4558296952059703
2008-01-31,-0.40544030501638545,-0.43218345424049964
2008-02-29,-0.4373682266331598,-0.43383185242964617
2008-03-31,-0.48563844211654394,-0.47459576890653
2008-04-30,-0.4174408444594896,-0.42320990512887374
2008-05-30,-0.39732813609072876,-0.3626101583708946
2008-06-30,-0.36082583601589574,-0.33720274931517746
2008-07-31,-0.3062938958006096,-0.25117212302675157
2008-08-29,-0.21985641188392394,-0.1935186479682523
2008-09-30,-0.2070529179392615,-0.17677712624158357
2008-10-31,-0.0448352511985567,0.012770850508159227
2008-11-28,0.35832116579373025,0.25177416243906514
2008-12-31,0.8362145132622518,0.5489692254774681
2009-01-30,0.9238476443282753,0.59260453604792
2009-02-27,0.9231098530560692,0.6143139849734225
2009-03-31,1.562305586888682,0.9535302096459853
2009-04-30,1.4266550836349778,0.892121023768734
2009-05-29,0.9970597584621239,0.6458872924411297
2009-06-30,0.6203118092362739,0.37826841184408083
2009-07-31,0.44459107450229174,0.26955184103964136
2009-08-31,0.3395313714530821,0.23215544925863374
2009-09-30,0.04819538567915452,0.10349077027334368
2009-10-30,0.12147240021494289,0.12858039570590765
2009-11-30,0.23624311984512072,0.2398570613352628
2009-12-31,0.2623747372145092,0.226734290119376
2010-01-29,0.2664499934003064,0.2368444428733044
2010-02-26,0.3001006127307352,0.2719685224393149
2010-03-31,0.34218492187994626,0.2748564735382986
2010-04-30,0.27545007651572,0.20383320080224712
2010-05-28,0.12688040238058484,0.15813986641779695
2010-06-30,0.2181920977704701,0.23499407954631746
2010-07-30,0.20028731030983438,0.28578100629511904
2010-08-31,0.14343021820437984,0.18024698533557076
2010-09-30,0.14100892895120984,0.14732092674910233
2010-10-29,-0.13518261308626808,-0.06112757142804222
2010-11-30,-0.08509345185955432,-0.0011248228902782486
2010-12-31,-0.1003961017738098,-0.031880348319241116
2011-01-31,-0.17591851541792472,-0.08971325477564696
2011-02-28,-0.1353032509445554,-0.03469874440862275
2011-03-31,-0.135199858733584,-0.040755532316697415
2011-04-29,-0.11320340957185472,-0.03116625873531543
2011-05-31,-0.10817855050491959,-0.05596839498174276
2011-06-30,-0.15470575073722379,-0.1033970086681113
2011-07-29,-0.05515574234853599,-0.05028990865314716
2011-08-31,-0.08964552525513353,-0.027518743813057155
2011-09-30,0.019261643980727598,0.07831469200409681
2011-10-31,0.24766421538843308,0.24493841477669692
2011-11-30,0.13510507659173893,0.10616351183601039
2011-12-30,0.16967632978918157,0.13146806729618254
2012-01-31,0.21234159920021542,0.15456547965265632
2012-02-29,0.17056050411403,0.13513713830567453
2012-03-30,0.15944997460952573,0.10032444097178758
2012-04-30,0.081219238615542,0.1179299943809425
2012-05-31,0.0852304726887402,0.13296233871001634
2012-06-29,0.2969957875797146,0.25360448376868006
2012-07-31,0.20877853506257824,0.20117876382778274
