DATE,NN1,NN2,NN3,Market
2005-01-31,-0.0458333465922272,-0.07889337124693571,-0.06801575654529148,-0.029962111257714703
2005-02-28,0.017398976596481742,-0.013566377913323357,-0.013550758462425152,0.015948061523122458
2005-03-31,-0.03441934920284005,-0.058422267919431975,-0.07207898594514199,-0.03387526033462708
2005-04-29,-0.07938142769341316,-0.09997069513128741,-0.09296343509985029,-0.046990120143990635
2005-05-31,0.027110856600299854,0.03900632707584679,0.035678325072113944,0.04216183382501461
2005-06-30,0.021360490120808377,0.024329255519547767,0.023282975679491013,0.03057455187794293
2005-07-29,0.05898635046233184,0.05813938459701046,0.06100825901360239,0.05712258748015433
2005-08-31,-0.021949894030389216,-0.019106219251347298,-0.014792060437574845,-0.008580210309962638
2005-09-30,0.0148592329632287,0.020567177197458892,0.008116826730493272,0.009750865471664925
2005-10-31,-0.0447785432083707,-0.059070752433183854,-0.049433828237668155,-0.03486416084454006
2005-11-30,0.012966174181165918,0.019214503791629294,0.029630264525261584,0.033106143487517226
2005-12-30,0.013469209990419163,0.013522271048802399,0.01673918945658683,0.012076259215738561
2006-01-31,0.09006290639610778,0.0928337229010479,0.09695699385209579,0.07401295285855725
2006-02-28,0.00212487893988006,0.0036008065667166413,0.005256015852623687,0.003628874544972424
2006-03-31,0.04443567042353823,0.057788181929685156,0.054860266498950525,0.035495388134970704
2006-04-28,-0.0015189967431784091,-0.004677235080059971,0.0012411086211394286,0.00830414740168272
2006-05-31,-0.061112985416341824,-0.08150311300209893,-0.070741584617991,-0.04483255813098843
2006-06-30,-0.02513677873997006,-0.041918585757784434,-0.03790962003053892,-0.009416381964389795
2006-07-31,-0.049625121834569734,-0.07925033244480711,-0.06790755692255192,-0.022856411346600502
2006-08-31,0.03667785970816023,0.05189714521450317,0.031193919376557862,0.024422635431258898
2006-09-29,0.0023806518401785696,-0.013354462105059523,-0.00021575196830357114,0.008053239841863187
2006-10-31,0.05452762018365527,0.048280734904754825,0.05230189048826151,0.04465756206255771
2006-11-30,0.03080183732744807,0.020310332275074183,0.035212422577744804,0.029065090353456363
2006-12-29,-0.006845886241037035,-0.0035357140662222197,-0.0024620623119999993,0.013544510743423794
2007-01-31,0.017689467320888885,0.023311498941777777,0.017430142224740736,0.02104615311674784
2007-02-28,-0.002845353577695714,-0.007597694759675034,-0.005322311109896601,0.0008019480481356601
2007-03-30,-0.007209731109975549,-0.012561676655506605,-0.016323136844933916,0.005852396939498067
2007-04-30,0.02670301981847507,0.025493105293548386,0.025848432458357766,0.02533450782127138
2007-05-31,0.02839737855762463,0.0151466060585044,0.015235009027859236,0.02246012596509367
2007-06-29,-0.00575945391622807,-0.012843046166812866,-0.0029479951729532174,-0.008533853456544609
2007-07-31,-0.054030347040291964,-0.06254374570919707,-0.05476570580963503,-0.04419921309826802
2007-08-31,-0.03699570453567251,-0.05223254666812865,-0.046097276729239765,-0.012915211170840171
2007-09-28,0.03292691272117647,0.01842782867117647,0.03274339320691176,0.02362932852502951
2007-10-31,0.02665287518343195,0.02454441777218935,0.02103750995754438,0.015767901046671747
2007-11-30,-0.10365670060568863,-0.1307259152002994,-0.13234580091676645,-0.07860579580757407
2007-12-31,-0.010375469230688623,-0.02451659948293413,-0.02658764544281437,-0.012161161272483876
2008-01-31,-0.07367734128077497,-0.08239730877272727,-0.08540387418345752,-0.046703574137576344
2008-02-29,-0.052516651071748875,-0.051757859135724955,-0.06032915481001495,-0.023354748018059007
2008-03-31,-0.033397586620120115,-0.05701320006816817,-0.05064478836876877,-0.026241173667466533
2008-04-30,0.022367768342406016,0.01845167852225564,0.025303595461804513,0.02969682609201583
2008-05-30,0.030398836594712986,0.034960470648942595,0.022667316091238666,0.03068575669000174
2008-06-30,-0.09484310038006041,-0.10596532744954683,-0.12561937326873113,-0.08871688365281838
2008-07-31,-0.01257716610287443,-0.004345982412556729,-0.0049990845186081686,-0.00297561996265584
2008-08-29,0.017381971572298323,0.005780676179452057,0.016860772178386604,0.012776320649718472
2008-09-30,-0.10033585235362094,-0.15469536632533087,-0.12090937720970725,-0.12146394643116457
2008-10-31,-0.229823742775,-0.2660868016530844,-0.2153755194431818,-0.21049469209963784
2008-11-28,-0.17868396120311475,-0.18985834059213114,-0.16995961952409835,-0.13882297399837576
2008-12-31,-0.027811018906280995,-0.007112235703801654,0.006640223945289254,0.0383930377501774
2009-01-30,-0.019260957186855235,0.015009632337437604,0.0036926624492512497,-0.024099388670945347
2009-02-27,-0.12808586225367893,-0.11541711942073579,-0.12136708199665552,-0.11364624145159041
2009-03-31,0.11471516288737374,0.12955568745925924,0.13759411175622896,0.10631234859549403
2009-04-30,0.23451273683898302,0.2949912781515254,0.2644692346071187,0.19997904664579153
2009-05-29,0.11637261156030665,0.14043524592521295,0.10810416838994888,0.10027717437514205
2009-06-30,0.02303241778044597,0.018619737492068255,0.031565874600301524,0.02331369108790793
2009-07-31,0.06146012767568965,0.07672049962810344,0.07784295510689654,0.0850735234064048
