DATE,NN3_Optimized,Market
2005-01-31,-0.028919890210014943,-0.029962111257714703
2005-02-28,0.015414308116890877,0.015943431207939722
2005-03-31,-0.04689437278746268,-0.033877601160760176
2005-04-29,-0.07124969168415546,-0.04698972397629457
2005-05-31,0.06518228984685628,0.04216441827818802
2005-06-30,0.037619772508532934,0.03057455187794293
2005-07-29,0.07599507861850745,0.05712081834737317
2005-08-31,-0.013083809839760834,-0.008580502276221485
2005-09-30,0.008162752337462683,0.00975254900186501
2005-10-31,-0.05168640865381166,-0.03486416084454006
2005-11-30,0.04604305094455608,0.033107212904336825
2005-12-30,0.008053958549562484,0.012074926519249716
2006-01-31,0.1167964770056801,0.07401459419827314
2006-02-28,0.0058777713576347295,0.003629769460426778
2006-03-31,0.04595079927614948,0.03549803052695671
2006-04-28,0.019645450946892514,0.008303257215736734
2006-05-31,-0.07485107438937125,-0.0448366072594192
2006-06-30,-0.01119645230418535,-0.00941680596941542
2006-07-31,-0.03119975911748148,-0.022857808029009344
2006-08-31,0.020578991476337315,0.02442307928523975
2006-09-29,0.001538540631352153,0.008051805441267374
2006-10-31,0.040535040347399694,0.04465756206255771
2006-11-30,0.023089115954192642,0.029065765119998328
2006-12-29,0.02295209073210059,0.013543564751095504
2007-01-31,0.026599607235207098,0.021047825447803266
2007-02-28,4.272079498525213e-05,0.0008020425790443845
2007-03-30,0.003492591078739,0.005851581337065882
2007-04-30,0.025095867674735428,0.02533604813150535
2007-05-31,0.010966212030746705,0.02245855379122163
2007-06-29,-0.004488664971532846,-0.00853519117784202
2007-07-31,-0.05519249814052477,-0.04419980731864275
2007-08-31,-0.010127942395328467,-0.012916155686972344
2007-09-28,0.02481420878579018,0.023626592420006316
2007-10-31,0.00776307897466832,0.015764485439003682
2007-11-30,-0.13169956869112462,-0.07860605676422534
2007-12-31,-0.012436887281350844,-0.012160391461576565
2008-01-31,-0.00882577142529762,-0.04670597550037336
2008-02-29,-0.019330123914200296,-0.023354748018059007
2008-03-31,-0.03745415024407796,-0.026241874307451694
2008-04-30,0.02561162137864662,0.02969682609201584
2008-05-30,0.04797435080452488,0.03068421627340953
2008-06-30,-0.11611463268506787,-0.08872282912198991
2008-07-31,0.023947443991993958,-0.0029792415443000804
2008-08-29,0.012773603843617021,0.012776253346060137
2008-09-30,-0.10453296828983051,-0.12146394643116458
2008-10-31,-0.22429426694667748,-0.21049636614944528
2008-11-28,-0.1706091806727685,-0.1388187637927833
2008-12-31,0.010394812728052804,0.03839994948173646
2009-01-30,0.038280916517940196,-0.024097697965657507
2009-02-27,-0.13423942372253755,-0.11364534209365187
2009-03-31,0.22738403864638657,0.10631058958109092
2009-04-30,0.3933505489766497,0.19996272710190918
2009-05-29,0.12782295353673467,0.10027419864004425
2009-06-30,0.03616353532260274,0.023318323099981633
2009-07-31,0.10173718746230637,0.08507717873759346
2009-08-31,0.1364693413163793,0.0550857311855046
2009-09-30,0.1106592770415225,0.07240887202456225
2009-10-30,-0.06892084704409722,-0.05507970816902782
2009-11-30,-0.00013860795965217208,0.025262667294318086
