DATE,OLS,Lasso,RandomForest,GBRT,Market
2005-01-31,-0.01533368512720478,-0.029995821348579966,-0.04812925339940209,-0.05619894007817638,-0.029962111257714696
2005-02-28,0.02954770176601796,0.021083278840568858,0.010803500641167661,0.011494140937350001,0.015947393639456863
2005-03-31,-0.0242117796463311,-0.028028281297601654,-0.025852033382660684,-0.03914624963587444,-0.03387478517658574
2005-04-29,-0.06795399604243278,-0.07195457906174416,-0.019937433865460423,-0.02109806781706587,-0.04698958908043963
2005-05-31,0.04085659998680659,0.03956537441589205,0.04104741643313343,0.04084372283103448,0.042163335779132144
2005-06-30,0.04207695793968427,0.034437230577994006,0.030529641034427683,0.020662993504564412,0.03057455187794293
2005-07-29,0.0710251120147982,0.06639836440747383,0.04022215667801421,0.05242805285668775,0.05712065210531333
2005-08-31,-0.00831182148864152,-0.020919940082634723,-0.0101385462002994,-0.020029243022604785,-0.008580831966102088
2005-09-30,0.015786772185949177,0.007297320105979072,0.008392823266914713,0.014390912432137516,0.009751831977394739
2005-10-31,-0.034804240699999996,-0.036826980911061284,-0.031502939235575476,-0.0424355687560538,-0.034864160844540054
2005-11-30,0.03720125980463378,0.03796971845440956,0.005204236249057697,0.0114546766593716,0.03310721273462138
2005-12-30,0.004755885676347312,0.0026764092523952165,0.017242884323985144,0.014157469946914029,0.012073164777360054
2006-01-31,0.06720430501137724,0.06248196640014969,0.09042152162724551,0.08847323495000001,0.07400953602725904
2006-02-28,-0.009036536790554722,-0.00046100345622188935,0.0008270469742402437,-0.007539607936104584,0.003628736617241582
2006-03-31,0.035222360588155914,0.042885757764317835,0.03866356609715142,0.04582351266761619,0.03549501212719284
2006-04-28,-0.0018222437725637145,-0.004785295919940026,0.004165606468215892,-0.0012474751721139403,0.008304102005420836
2006-05-31,-0.05036089790464768,-0.04331486229460269,-0.061208416651724135,-0.06590500357151424,-0.04483094853704956
2006-06-30,-0.0003808296868263484,-0.0073196520615463785,-0.019591439438323352,-0.016286948398802393,-0.009414235622682308
2006-07-31,-0.02280455361424332,-0.02864134781735905,-0.0224466252458457,-0.040373787858456966,-0.022855263512016506
2006-08-31,0.00933358140953896,0.007451284295444006,0.023320810310979226,0.026421864359310293,0.024418584427066507
2006-09-29,-0.00026167968363095134,-0.00613674114613095,0.0027808681104167254,0.004273349769642916,0.008052847222023094
2006-10-31,0.038025954628974734,0.042468814960772656,0.023206501517236248,0.028252275083471723,0.04465756206255771
2006-11-30,0.02728751287627634,0.023667021377314915,0.03670883763857566,0.03061749143412463,0.02906678307498381
2006-12-29,-0.0006757965792592588,0.004754604738666667,0.008152165380888888,0.0039642168992284595,0.013545158380562125
2007-01-31,0.028093904683555552,0.02305039653407407,0.016881865184,0.026145259458074072,0.02104887888814872
2007-02-28,-0.004461842110192021,0.0002842295729689838,0.007535911632496309,-0.0018791451082717876,0.0008010579474654727
