DATE,GBRT Fixed_ret12_Long,GBRT Fixed_ret12_Short,GBRT Fixed_ret12_LS,Market
2005-01-31,0.07873518764972687,-0.02506023645401001,0.10379542410373688,0.05303596341982484
2005-02-28,0.21376030147075653,0.11254366487264633,0.1012166365981102,0.16251719519495963
2005-03-31,0.22203880548477173,0.08236908912658691,0.13966971635818481,0.13877470344305037
2005-04-29,0.3210983872413635,0.16020354628562927,0.16089484095573425,0.2236187070608139
2005-05-31,0.43370768427848816,0.2735082507133484,0.16019943356513977,0.29983002245426177
2005-06-30,0.30409884452819824,0.1303429901599884,0.17375585436820984,0.18780339509248734
2005-07-29,0.19792701303958893,0.09198823571205139,0.10593877732753754,0.14326758943498136
2005-08-31,0.08564118295907974,-0.03405678644776344,0.11969796940684319,0.05629801116883755
2005-09-30,0.09291854500770569,0.04674597829580307,0.04617256671190262,0.08696263283491135
2005-10-31,0.10234060138463974,0.04784426838159561,0.05449633300304413,0.08509951494634152
2005-11-30,0.2003178596496582,0.0979788526892662,0.102339006960392,0.17286703512072563
2005-12-30,0.20792847871780396,0.1039339005947113,0.10399457812309265,0.16542934030294418
2006-01-31,0.20779214799404144,0.08098310232162476,0.1268090456724167,0.16605425328016282
2006-02-28,0.14053581655025482,0.011457436718046665,0.12907837983220816,0.11172638544812799
2006-03-31,0.1466113030910492,0.037808485329151154,0.10880281776189804,0.10607131347060203
2006-04-28,0.08927559107542038,0.021859319880604744,0.06741627119481564,0.0785257587209344
2006-05-31,0.11330123990774155,0.0325985886156559,0.08070265129208565,0.0973572801798582
2006-06-30,0.21297691762447357,0.11229552328586578,0.10068139433860779,0.17685316652059554
2006-07-31,0.23534266650676727,0.1036318764090538,0.13171079009771347,0.17850667014718055
2006-08-31,0.21484315395355225,0.09643224626779556,0.11841090768575668,0.15561175122857093
2006-09-29,0.1773374080657959,0.06275629252195358,0.11458111554384232,0.11757994815707207
2006-10-31,0.20222769677639008,0.08709847927093506,0.11512921750545502,0.13750733844935895
2006-11-30,0.14709816873073578,0.05517197772860527,0.09192619100213051,0.11209023371338844
2006-12-29,0.09264791756868362,-0.06466817110776901,0.15731608867645264,-0.006730531388893723
2007-01-31,0.06708057224750519,-0.08342617750167847,0.15050674974918365,-0.027269470458850264
2007-02-28,-0.07778512686491013,-0.1607738733291626,0.08298874646425247,-0.10181382223963738
2007-03-30,-0.11028172075748444,-0.1466364860534668,0.03635476529598236,-0.12127973511815071
2007-04-30,-0.13847793638706207,-0.22150254249572754,0.08302460610866547,-0.1477314531803131
2007-05-31,-0.11773676425218582,-0.22332391142845154,0.10558714717626572,-0.14130376949906348
2007-06-29,-0.12502264976501465,-0.14459842443466187,0.019575774669647217,-0.1342453859746456
2007-07-31,-0.1849951595067978,-0.2481653094291687,0.06317014992237091,-0.19423098266124725
2007-08-31,-0.14172066748142242,-0.22393690049648285,0.08221623301506042,-0.16557247340679168
2007-09-28,-0.1094060093164444,-0.1816033273935318,0.0721973180770874,-0.150809795409441
2007-10-31,-0.24818368256092072,-0.352384477853775,0.10420079529285431,-0.26664030700922015
2007-11-30,-0.43499821424484253,-0.4938666522502899,0.05886843800544739,-0.4228682816028595
