DATE,OLS,Lasso,RandomForest,GBRT,Market
2005-01-31,-0.0638781238334828,-0.05396158016397608,-0.02736221973019432,-0.03598422507204783,-0.029962111257714703
2005-02-28,0.009644532863922153,0.0055525085672155665,0.020550966095882937,0.01610478053136198,0.015944890702086247
2005-03-31,-0.05713033680417863,-0.04575802146217565,-0.018751844785351267,-0.013760585295814644,-0.033881544368879184
2005-04-29,-0.06273089292784431,-0.06982222786152695,-0.02385053039704725,-0.03846897922215569,-0.046988958640355315
2005-05-31,0.06472114114182909,0.05134881334332833,0.03838808761934032,0.04139600815202398,0.042167428489414335
2005-06-30,0.026322361048353293,0.024319313077994006,0.025044549890279846,0.01638253334812729,0.03057455187794293
2005-07-29,0.06240405233856502,0.06866519975949177,0.04894250499968835,0.05283898041169523,0.05712334806271385
2005-08-31,-0.016357361592365262,-0.014939890843862273,-0.02462993415436008,-0.0318851913531437,-0.00858118401112739
2005-09-30,0.01718150526233184,0.01502529552209937,0.009081302122071666,-0.008682145199701046,0.009753140878680374
2005-10-31,-0.03731483931434978,-0.037054959182660684,-0.031673903493423014,-0.03191967347877429,-0.03486416084454006
2005-11-30,0.04118384226367713,0.04227306423871449,0.028374144674588934,0.03640496276816143,0.03310715714284546
2005-12-30,0.006780499841916173,0.004045083140568868,0.017026173813823278,0.017061709697325525,0.01207372264453726
2006-01-31,0.08990799453398203,0.09029675934101795,0.05522239636601795,0.06868795659835329,0.07401292970282299
2006-02-28,0.005534892206446774,0.009571911877811092,0.005673665701349323,0.00047041449295352256,0.0036305637725411928
2006-03-31,0.04713432448425786,0.04805984792923538,0.040230382307796096,0.036368785057721134,0.035497416264384865
2006-04-28,-0.002443909606446776,-0.006343153667316342,0.00327832110732889,0.004830313844677663,0.00830400894167325
2006-05-31,-0.06463830880494752,-0.06820575431664166,-0.03536045143853073,-0.034957040762368816,-0.04483308587401068
2006-06-30,-0.009178904687148961,-0.014202148056011235,-0.0100460978498503,-0.018570626356157156,-0.009416152695474552
2006-07-31,-0.04454303130534124,-0.0322010704272997,-0.03594699468293768,-0.031988156226261125,-0.022858014536730125
2006-08-31,0.018977047069584568,0.020055022734272992,0.027028600355192875,0.022496889075222546,0.02442001308864578
2006-09-29,-0.00444170791108253,-0.007468884643969433,0.003132004768452443,-0.002082198344713419,0.008052226118274589
