DATE,GBRT,Market
2005-01-31,-0.017611272264424514,-0.029962111257714696
2005-02-28,0.0306697700044843,0.01594249868744148
2005-03-31,-0.04697087832582089,-0.03387758972495475
2005-04-29,-0.06370566146472345,-0.046986684543130514
2005-05-31,0.05277333923607783,0.042164620992586145
2005-06-30,0.04451043784041916,0.030574551877942925
2005-07-29,0.07887557506283581,0.05712321167511906
2005-08-31,0.0023020417509716,-0.008583209202993438
2005-09-30,0.030547683682388055,0.009747481178739427
2005-10-31,-0.05621397587070254,-0.03486416084454005
2005-11-30,0.030860316448955226,0.03311026672890879
2005-12-30,0.008778568439910317,0.012075909032401017
2006-01-31,0.1196110683967115,0.07400975779879673
2006-02-28,-0.003611583287724552,0.0036304541955664038
2006-03-31,0.049155626779041915,0.03549740069118336
2006-04-28,0.020326173748389516,0.008305097897279705
2006-05-31,-0.0784401545757485,-0.0448286425704115
2006-06-30,-0.015534117968609866,-0.009415186025148455
2006-07-31,-0.04391734359096296,-0.022854786683045254
2006-08-31,0.03893098209248779,0.024420534546720683
2006-09-29,0.004379336117083879,0.008052576714049681
2006-10-31,0.05693563815349183,0.044657562062557714
2006-11-30,0.03281331787733333,0.02906702092835368
2006-12-29,0.021697029738165678,0.01354338016521899
2007-01-31,0.031464600019674556,0.02104587093591944
2007-02-28,0.002330443235103245,0.000801513273473455
2007-03-30,-0.001109448608211144,0.005853291758268546
2007-04-30,0.02873391034158125,0.02533574444835505
2007-05-31,0.01844220229282577,0.022459596584353488
2007-06-29,-0.00019431424306569272,-0.008533407037508175
2007-07-31,-0.04676373865058309,-0.044199253057041234
2007-08-31,-0.01694333506160584,-0.012912855310525426
2007-09-28,0.04058319174464023,0.023624542522483364
2007-10-31,0.023661715299113734,0.015764477966074743
2007-11-30,-0.10100935048708876,-0.07860335216036791
2007-12-31,-0.008254704278325862,-0.012164008144477318
2008-01-31,-0.04836429389717262,-0.046700487721545766
2008-02-29,0.015225424443625141,-0.023354748018059007
2008-03-31,-0.04861406532788605,-0.026240071328068958
2008-04-30,0.026899377323609024,0.02969682609201583
2008-05-30,0.03525154520859728,0.0306850677523522
2008-06-30,-0.048941836313273,-0.0887199238755438
2008-07-31,-0.009917872324169179,-0.002970638091041468
2008-08-29,0.0022548846466565364,0.012776581587702613
2008-09-30,-0.1549538396412943,-0.12146394643116458
2008-10-31,-0.21724336461701782,-0.21049430247629894
2008-11-28,-0.14161386451970168,-0.13882026064717315
2008-12-31,0.029817081193564354,0.03839510508966614
2009-01-30,0.018642141051162794,-0.024108779654309808
2009-02-27,-0.13478387797721708,-0.11364497276413225
2009-03-31,0.15115985934134454,0.1063128071201161
2009-04-30,0.17413719989847717,0.19999524410911282
2009-05-29,0.12065786879625849,0.10027521060251512
2009-06-30,0.03880519932739726,0.02331738960348983
2009-07-31,0.08866435953459552,0.085078021707019
2009-08-31,0.05924742175353483,0.05509307493213539
2009-09-30,0.0709612874768166,0.07241559714873833
2009-10-30,-0.04381738128559027,-0.05507970816902782
2009-11-30,0.04059076344956521,0.025261188111106992
2009-12-31,0.06496740247439023,0.055658691088261915
2010-01-29,-0.0017733633797556712,-0.011531879152281472
