DATE,GBRT,Market
2005-01-31,0.07873518498927001,0.05303596334596895
2005-02-28,0.21376031117698963,0.16251719844290424
2005-03-31,0.22203881705704956,0.1387747038335688
2005-04-29,0.3210983868353786,0.22361870539290027
2005-05-31,0.4337076761589691,0.299830021928915
2005-06-30,0.30409885245060747,0.187803394306619
2005-07-29,0.19792700962818952,0.14326758863630654
2005-08-31,0.08564117903420856,0.05629801098839179
2005-09-30,0.09291854463329222,0.08696263561415153
2005-10-31,0.10234060182825372,0.08509951616913516
2005-11-30,0.20031785625260026,0.17286703562225936
2005-12-30,0.20792847113126103,0.16542934013967664
2006-01-31,0.20779213624376816,0.16605425263231732
2006-02-28,0.1405358173578891,0.11172638508570916
2006-03-31,0.14661130126033628,0.10607131317469824
2006-04-28,0.08927559054123686,0.07852575879372573
2006-05-31,0.11330123782868759,0.09735728092619553
2006-06-30,0.2129769263005192,0.1768531664198047
2006-07-31,0.23534267369556838,0.17850667136343423
2006-08-31,0.21484315992068007,0.15561175328048057
2006-09-29,0.1773374121209324,0.11757994941418652
2006-10-31,0.20222769802343152,0.13750733532633802
2006-11-30,0.14709817258581365,0.11209023310553981
2006-12-29,0.09264791916788281,-0.006730531122704375
2007-01-31,0.0670805755698333,-0.027269469886526575
2007-02-28,-0.07778513056771469,-0.10181382384099744
2007-03-30,-0.1102817204907946,-0.12127973651593238
2007-04-30,-0.13847793373656272,-0.14773145434710988
2007-05-31,-0.11773676817514236,-0.14130376794226768
2007-06-29,-0.1250226505324762,-0.13424538698802194
2007-07-31,-0.18499516398743784,-0.19423098458829313
2007-08-31,-0.14172066853234638,-0.16557247269154818
2007-09-28,-0.10940601131761442,-0.15080979375470768
2007-10-31,-0.24818368601160462,-0.266640306730595
2007-11-30,-0.43499822399568244,-0.4228682742130778
2007-12-31,-0.47830763870775045,-0.45580937620350453
2008-01-31,-0.4347200818252652,-0.4321804569441099
2008-02-29,-0.43510212949670557,-0.43383185242964617
2008-03-31,-0.4897302857859623,-0.474598495237123
2008-04-30,-0.4509715778730106,-0.4232133809933864
2008-05-30,-0.40268641758525764,-0.3625968616271166
2008-06-30,-0.38053391763073635,-0.33720015869574826
2008-07-31,-0.30815477392880997,-0.251184649787198
2008-08-29,-0.22120080169540046,-0.19352633502718794
2008-09-30,-0.21044515820691698,-0.17677712624158354
2008-10-31,-0.07380796640141496,0.012775792520677351
2008-11-28,0.10618732718843102,0.25177416243906514
2008-12-31,0.6781880474749181,0.5489467577278763
2009-01-30,0.390644276163562,0.5926178966728821
2009-02-27,0.506485332401736,0.6143415720663045
2009-03-31,1.2501427562886893,0.9535852856944903
2009-04-30,1.2234795641066243,0.8921030812908798
2009-05-29,0.6311061262916443,0.6459234594429692
2009-06-30,0.5549288757080012,0.37825542988795874
